epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1949.47,0.18761,0.83521,0.81856,0.96913,0.97819,0.995,0.995,0.13316,0.68011,0.81371,0.000540037,0.000540037,0.000540037
43,2002.02,0.18678,0.60363,0.81291,0.83207,0.99556,0.995,0.995,0.1244,0.72046,0.81137,0.000531038,0.000531038,0.000531038
44,2054.9,0.16852,0.71517,0.81232,0.97497,1,0.995,0.995,0.12631,0.62191,0.8131,0.000522039,0.000522039,0.000522039
45,2107.48,0.18595,0.63208,0.81924,0.93787,0.99323,0.995,0.995,0.11543,0.67209,0.81022,0.00051304,0.00051304,0.00051304
46,2164.86,0.16808,0.73257,0.82826,0.98437,1,0.995,0.995,0.11471,0.59955,0.80914,0.00050404,0.00050404,0.00050404
47,2219.92,0.17652,0.62074,0.81845,0.85494,1,0.995,0.995,0.10412,0.65307,0.80288,0.000495041,0.000495041,0.000495041
48,2272.4,0.17319,0.65949,0.81942,0.9783,1,0.995,0.995,0.12072,0.60338,0.80996,0.000486042,0.000486042,0.000486042
49,2316.72,0.16941,0.58539,0.79417,0.9443,1,0.995,0.995,0.11134,0.59662,0.81,0.000477043,0.000477043,0.000477043
50,2361.13,0.16488,0.51418,0.79993,0.93835,1,0.995,0.995,0.13174,0.57772,0.80951,0.000468044,0.000468044,0.000468044
51,2405.41,0.18357,0.57179,0.83262,0.83095,0.99004,0.98321,0.98321,0.11709,0.6717,0.80827,0.000459045,0.000459045,0.000459045
52,2449.62,0.18143,0.55375,0.80589,0.98363,1,0.995,0.995,0.10849,0.52298,0.80639,0.000450046,0.000450046,0.000450046
53,2493.89,0.18192,0.5507,0.81101,0.98876,1,0.995,0.995,0.12891,0.53468,0.81053,0.000441047,0.000441047,0.000441047
